sname,date,location,town,province,country,seen,heard,ringed,dead,photo,male,female,adult,immature,breeding,eggs,nonbreeding,nest,chicks,comments
Anas undulata,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Bostrychia hagedash,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,true,false,false,false,Lifer:
Burhinus capensis,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,false,false,false,false,Lifer:
Columba arquatrix,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,true,false,false,false,Lifer:
Euplectes orix,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,false,false,false,false,false,Lifer:
Lanius collaris,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,true,true,false,false,false,false,false,false,Lifer:
Passer domesticus,2001.09.01,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,true,false,false,false,Lifer:
Upupa africana,2001.09.01,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Vanellus armatus,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Acridotheres tristis,2001.09.16,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,false,false,false,Lifer:
Corythaixoides concolor,2001.09.16,Random Harvest,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Lamprotornis nitens,2001.09.16,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Lanius collaris,2001.09.16,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,true,true,true,false,false,false,
Larus cirrocephalus,2001.09.16,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Ploceus velatus,2001.09.16,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,false,false,false,Lifer:
Pycnonotus tricolor,2001.09.16,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,true,false,false,false,Lifer:
Urocolius indicus,2001.09.16,Random Harvest,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Chalcomitra amethystina,2001.09.17,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,false,false,false,false,false,Lifer: First Sunbird Approx Date
Alopochen aegyptiaca,2001.10.01,Beauleau Bird Sanctuary,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Ardea goliath,2001.10.01,Beauleau Bird Sanctuary,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,true,false,false,false,Lifer: In the reeds
Ardea melanocephala,2001.10.01,Beauleau Bird Sanctuary,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Bostrychia hagedash,2001.10.01,Beauleau Bird Sanctuary,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,true,false,false,false,
Cinnyris talatala,2001.10.01,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,false,false,false,false,false,Lifer: First Sunbird in Garden. Approx Date
Dendrocygna viduata,2001.10.01,Beauleau Bird Sanctuary,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,true,false,false,false,Lifer: Together a pair  but cannot be certain
Fulica cristata,2001.10.01,Beauleau Bird Sanctuary,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,true,true,false,false,false,false,Lifer:
Numida meleagris,2001.10.01,Beauleau Bird Sanctuary,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Threskiornis aethiopicus,2001.10.01,Beauleau Bird Sanctuary,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,true,false,false,false,Lifer:
Colius striatus,2001.10.06,Mauro's - Kensington,Johannesburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Corythaixoides concolor,2001.10.06,Mauro's - Kensington,Johannesburg,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,true,false,false,false,
Passer melanurus,2001.10.06,Mauro's - Kensington,Johannesburg,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,false,false,false,true,false,false,false,Lifer:
Streptopelia senegalensis,2001.10.06,Mauro's - Kensington,Johannesburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,false,false,false,true,false,false,false,Lifer:
Urocolius indicus,2001.10.06,Mauro's - Kensington,Johannesburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Acridotheres tristis,2001.10.11,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,true,false,false,false,Resident in Neighbours Yard
Lanius collaris,2001.10.11,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,false,true,false,false,true,false,false,false,Resident in Neighbour's Yard
Motacilla capensis,2001.10.11,Simmonds Street,Johannesburg,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,true,false,false,Lifer:
Alopochen aegyptiaca,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,true,false,false,false,
Anhinga rufa,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Aquila verreauxii,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,true,false,false,false,Lifer:
Ardea cinerea,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,false,false,false,false,false,false,false,Lifer:
Bubulcus ibis,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,true,true,true,false,false,Lifer:
Campephaga flava,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,false,true,false,false,false,false,false,false,Lifer:
Colius striatus,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,true,false,false,false,false,
Columba guinea,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Corvus albus,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Cossypha caffra,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Cuculus solitarius,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,false,true,false,false,false,false,false,false,false,false,false,false,false,false,Lifer:
Dendrocygna viduata,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,true,false,false,false,
Egretta garzetta,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Fulica cristata,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,false,false,false,false,
Gallinula chloropus,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,true,false,false,false,true,Lifer:
Halcyon albiventris,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,true,false,false,false,Lifer:
Laniarius ferrugineus,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,true,false,false,false,Lifer:
Netta erythrophthalma,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,false,false,false,false,false,false,false,Lifer:
Numida meleagris,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,true,false,false,false,
Onychognathus morio,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,false,false,false,false,true,false,false,Lifer:
Passer diffusus,2001.10.13,Random Harvest,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Passer melanurus,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,true,false,false,
Phalacrocorax lucidus,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Platalea alba,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Plegadis falcinellus,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,true,false,false,false,Lifer:
Ploceus capensis,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,false,true,false,false,false,true,false,false,Lifer:
Porphyrio madagascariensis,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Pycnonotus tricolor,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,
Streptopelia capicola,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Streptopelia capicola,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Streptopelia senegalensis,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,true,false,false,false,
Terpsiphone viridis,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,false,false,false,false,false,false,false,Lifer:
Trachyphonus vaillantii,2001.10.13,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Turdus olivaceus,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,false,false,false,false,Lifer:
Vanellus armatus,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,
Vanellus coronatus,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,false,false,true,Lifer:
Zosterops capensis,2001.10.13,Wits Botanical Garden,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Saxicola torquatus,2001.10.14,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,false,false,false,false,false,Lifer:
Streptopelia senegalensis,2001.10.14,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,true,false,false,false,false,
Vanellus armatus,2001.10.14,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,false,false,false,
Bostrychia hagedash,2001.10.17,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,true,false,false,false,
Cisticola juncidis,2001.10.17,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Corvus albus,2001.10.17,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Larus cirrocephalus,2001.10.17,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Passer melanurus,2001.10.17,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,false,true,false,false,false,false,false,false,
Petrochelidon spilodera,2001.10.17,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer: On the Wing
Saxicola torquatus,2001.10.17,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,true,false,false,false,
Vanellus coronatus,2001.10.17,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Vanellus senegallus,2001.10.17,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,false,false,false,Lifer:
Alopochen aegyptiaca,2001.10.18,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Burhinus capensis,2001.10.18,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,false,false,false,false,
Dendrocygna viduata,2001.10.18,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,false,false,false,false,
Euplectes orix,2001.10.18,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,false,false,false,false,false,
Passer melanurus,2001.10.18,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,true,false,false,false,
Vanellus coronatus,2001.10.18,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,false,false,false,false,
Chalcomitra amethystina,2001.10.20,Angela's Garden,Middelburg,Mpumalanga,SOUTH AFRICA,true,false,false,false,false,true,false,false,true,false,false,false,false,false,
Circaetus cinereus,2001.10.20,Botshabela,Middelburg,Mpumalanga,SOUTH AFRICA,true,false,false,false,false,false,false,false,true,false,false,false,false,false,Lifer:
Dicrurus adsimilis,2001.10.20,Botshabela,Middelburg,Mpumalanga,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Euplectes progne,2001.10.20,Botshabela,Middelburg,Mpumalanga,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,true,false,false,false,false,Lifer:
Hirundo abyssinica,2001.10.20,Botshabela,Middelburg,Mpumalanga,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Jynx ruficollis,2001.10.20,Angela's Garden,Middelburg,Mpumalanga,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Merops bullockoides,2001.10.20,Botshabela,Middelburg,Mpumalanga,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Oriolus larvatus,2001.10.20,Botshabela,Middelburg,Mpumalanga,SOUTH AFRICA,true,true,false,false,false,true,false,true,false,false,false,false,false,false,Lifer:
Scopus umbretta,2001.10.20,Botshabela,Middelburg,Mpumalanga,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Ardeola ralloides,2001.10.21,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Ceryle rudis,2001.10.21,Mark's Harties place,Kosmos,North West,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Egretta garzetta,2001.10.21,Korsmans Bird Sanctuary,Benoni,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Hirundo abyssinica,2001.10.21,Mark's Harties place,Kosmos,North West,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,true,false,false,false,false,
Numida meleagris,2001.10.21,N12 Middelburg,Middelburg,Mpumalanga,SOUTH AFRICA,false,false,false,true,false,false,false,true,false,false,false,false,false,false,
Vanellus coronatus,2001.10.21,Mark's Harties place,Kosmos,North West,SOUTH AFRICA,false,false,false,true,false,false,false,false,false,false,false,false,false,false,
Euplectes ardens,2001.10.23,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,true,false,false,false,false,Lifer:
Oenanthe monticola,2001.10.23,Bishop Bird Street,Centurion,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,false,false,false,false,false,false,false,Lifer: Kobus' Rooihuiskraal house
Prinia flavicans,2001.10.23,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,true,false,false,false,false,Lifer:
Saxicola torquatus,2001.10.23,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,false,true,false,false,false,false,false,
Columba livia,2001.10.25,Standard Bank,Johannesburg,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,true,false,false,false,Lifer:
Asio capensis,2001.10.27,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,true,false,false,false,Lifer:
Chrysococcyx caprius,2001.10.27,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,true,false,false,false,Lifer:
Euplectes progne,2001.10.27,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,false,true,false,true,false,false,false,false,
Hirundo albigularis,2001.10.27,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Lanius collaris,2001.10.27,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Macronyx capensis,2001.10.27,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,false,false,false,false,Lifer:
Petrochelidon spilodera,2001.10.27,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,false,false,true,false,false,false,false,
Acridotheres tristis,2001.10.28,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,false,false,false,
Bostrychia hagedash,2001.10.28,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,
Bostrychia hagedash,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,false,false,false,false,false,false,false,
Bubulcus ibis,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,true,false,false,false,false,
Chrysococcyx caprius,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,false,true,false,false,false,false,false,false,false,false,false,false,false,false,
Cisticola juncidis,2001.10.28,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,
Corythaixoides concolor,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,false,false,false,false,false,false,false,
Egretta garzetta,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,
Elanus caeruleus,2001.10.28,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Euplectes ardens,2001.10.28,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,true,false,false,false,false,
Euplectes ardens,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,false,false,true,false,false,false,false,
Euplectes orix,2001.10.28,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,false,false,false,false,
Euplectes orix,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,true,false,false,false,false,
Fulica cristata,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,true,false,false,false,false,
Haliaeetus vocifer,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Lanius collaris,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Macronyx capensis,2001.10.28,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,false,false,false,
Mirafra africana,2001.10.28,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,false,false,false,false,Lifer:
Mirafra africana,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,
Myrmecocichla formicivora,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Numida meleagris,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,false,true,false,false,false,false,false,true,false,false,false,false,false,false,
Oenanthe pileata,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,false,false,false,false,Lifer:
Petrochelidon spilodera,2001.10.28,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,false,false,false,
Quelea quelea,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,false,true,false,false,false,Lifer:
Saxicola torquatus,2001.10.28,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,false,false,false,false,
Saxicola torquatus,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,false,false,false,false,
Scopus umbretta,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Threskiornis aethiopicus,2001.10.28,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Threskiornis aethiopicus,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Vanellus coronatus,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,
Vanellus senegallus,2001.10.28,Backyard Veld,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,false,false,false,false,
Vidua macroura,2001.10.28,Rietvlei Nature Reserve,Pretoria,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,false,false,false,false,false,Lifer:
Chrysococcyx caprius,2001.10.30,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,false,true,false,false,false,false,false,true,false,false,false,false,false,false,
Cinnyris talatala,2001.10.30,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,false,true,false,false,false,false,false,false,
Motacilla capensis,2001.10.30,Standard Bank,Johannesburg,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,true,false,true,
Anaplectes rubriceps,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,true,false,true,false,false,Lifer:
Batis molitor,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,false,false,false,false,Lifer:
Buphagus erythrorhynchus,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Cercotrichas quadrivirgata,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,false,false,false,false,Lifer:
Circaetus cinereus,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Coracias naevius,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Corvus albus,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,
Cossypha humeralis,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Emberiza flaviventris,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Hirundo abyssinica,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,false,false,false,false,
Lamprotornis chalybaeus,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Merops apiaster,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,false,false,false,false,Lifer:
Passer diffusus,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,
Polyboroides typus,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Pternistis natalensis,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,true,false,false,false,Lifer:
Pycnonotus tricolor,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,false,false,false,false,
Pytilia melba,2001.11.02,Engen Garage N1,Potgietersrus,Northern,SOUTH AFRICA,false,false,false,true,false,false,true,true,false,false,false,false,false,false,Lifer: Killed while driving. Found in grill.
Streptopelia capicola,2001.11.02,Punda Maria,KNP,Northern,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,false,false,false,false,
